Год,Отчетный период,Значение,Единица измерения,Код разреза,Код признака
2010,значение показателя за год,103335.95,Тысяча рублей,mОКАТО,643
2010,значение показателя за год,1054.75,Тысяча рублей,mОКАТО,30
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,140000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,150000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,170000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,200000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,240000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,290000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,340000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,380000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,420000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,460000000001
2010,значение показателя за год,1054.75,Тысяча рублей,mОКАТО,540000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,610000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,660000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,680000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,280000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,700000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,780000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,450000000001
2010,значение показателя за год,8902.75,Тысяча рублей,mОКАТО,31
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,860000000001
2010,значение показателя за год,1912.44,Тысяча рублей,mОКАТО,870000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,110000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,190000000001
2010,значение показателя за год,362.11,Тысяча рублей,mОКАТО,270000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,410000000001
2010,значение показателя за год,0,Тысяча рублей,mОКАТО,470000000001
